Date,Open,High,Low,Close,,,
27-03-2019,1720.1,1814.2,1720.1,1805.85,217918,94.1,-85.75
26-03-2019,1682,1724.5,1672,1715.45,150497,52.5,-33.45
25-03-2019,1695,1698.8,1676,1684.45,146720,22.8,10.55
22-03-2019,1708,1731.15,1695,1700.3,65294,36.15,7.7
20-03-2019,1725,1728,1708,1714.4,42535,20,10.6
19-03-2019,1728.1,1734.65,1719,1725.6,65620,15.65,2.5
18-03-2019,1712,1733.55,1702.4,1723.25,120528,31.15,-11.25
15-03-2019,1689.5,1718.2,1685.05,1700.75,194354,33.15,-11.25
14-03-2019,1644.6,1701.15,1637.45,1682.8,302709,63.7,-38.2
13-03-2019,1575.8,1640,1567.35,1636.25,2250011,72.65,-60.45
12-03-2019,1518,1585.5,1511.5,1571,421216,74,-53
11-03-2019,1525,1525.55,1504.1,1515.1,50489,21.45,9.9
08-03-2019,1530,1530.3,1510,1518.35,84698,20.3,11.65
07-03-2019,1535,1544.85,1522,1529.2,43847,22.85,5.8
06-03-2019,1542,1542,1523.9,1532.95,35843,18.1,9.05
05-03-2019,1515,1545.3,1510,1539.7,42800,35.3,-24.7
01-03-2019,1484.6,1523.9,1474,1516.3,143397,49.9,-31.7
28-02-2019,1484,1486.9,1470,1472.95,26533,16.9,11.05
27-02-2019,1478.15,1494.45,1459,1476.3,64979,35.45,1.85
26-02-2019,1471,1488,1462.5,1478.15,25688,25.5,-7.15
25-02-2019,1464,1495.15,1462.05,1489.85,52953,33.1,-25.85
22-02-2019,1475,1487.05,1460.1,1463.35,171699,26.95,11.65
21-02-2019,1483.95,1493.5,1453.3,1471.55,57654,40.2,12.4
20-02-2019,1482.05,1493.4,1474.15,1480.8,49730,19.25,1.25
19-02-2019,1512.45,1520,1472.1,1482.05,53224,47.9,30.4
18-02-2019,1509.65,1524.15,1501.1,1516.95,37764,23.05,-7.3
15-02-2019,1519.25,1520,1499.45,1509.85,26288,20.55,9.4
14-02-2019,1502,1529,1478,1520.5,80172,51,-18.5
13-02-2019,1501.6,1508.4,1485.2,1498.3,25837,23.2,3.3
12-02-2019,1511.15,1523,1488.3,1496.55,43124,34.7,14.6
11-02-2019,1499.95,1512.5,1483,1506.85,33546,29.5,-6.9
08-02-2019,1517.95,1528.95,1490.35,1497.5,41550,38.6,20.45
07-02-2019,1526,1530.3,1507.75,1513.95,80740,22.55,12.05
06-02-2019,1549,1554.05,1507.5,1526.4,54887,46.55,22.6
05-02-2019,1500.9,1559.7,1498.4,1536.25,86383,61.3,-35.35
04-02-2019,1517.65,1517.65,1471.1,1500.55,58802,46.55,17.1
01-02-2019,1510,1534,1498.6,1517.65,70318,35.4,-7.65
31-01-2019,1478,1520.5,1475,1505.05,74216,45.5,-27.05
30-01-2019,1465.3,1489.95,1459.95,1475.75,60212,30,-10.45
29-01-2019,1445,1471.15,1433.15,1465.2,1078138,38,-20.2
28-01-2019,1471,1493.85,1439,1444.5,102427,54.85,26.5
25-01-2019,1510,1511.95,1452,1486.05,100135,59.95,23.95
24-01-2019,1485,1500,1479,1489.3,49087,21,-4.3
23-01-2019,1501.85,1509.25,1486.45,1493.6,48436,22.8,8.25
22-01-2019,1508,1508,1475.25,1501.45,69940,32.75,6.55
21-01-2019,1515,1515.45,1497,1507.7,95273,18.45,7.3
18-01-2019,1524,1531.55,1512.1,1516.15,60515,19.45,7.85
17-01-2019,1536.35,1536.35,1511,1522.45,67674,25.35,13.9
16-01-2019,1500,1530.5,1498.7,1526.9,111019,31.8,-26.9
15-01-2019,1497.05,1503,1487,1496.65,89527,16,0.4
14-01-2019,1510,1510,1471.1,1484.05,117959,38.9,25.95
11-01-2019,1567,1576,1508.35,1515.4,177143,67.65,51.6
10-01-2019,1611,1611.1,1555,1566.45,184742,56.1,44.55
09-01-2019,1570.1,1610,1549.3,1600.8,284360,60.7,-30.7
08-01-2019,1569.9,1587.5,1553,1577.6,55077,34.5,-7.7
07-01-2019,1560,1609.4,1552.75,1558.25,280153,56.65,1.75
04-01-2019,1563.9,1569.65,1541.1,1547.95,118153,28.55,15.95
03-01-2019,1578.4,1580,1552,1559.05,50670,28,19.35
02-01-2019,1585,1596.95,1568,1577.4,53309,28.95,7.6
01-01-2019,1600,1604.45,1561.5,1594.35,193528,42.95,5.65
31-12-2018,1585.15,1602.85,1585.15,1599.05,24614,17.7,-13.9
28-12-2018,1587,1600,1573.5,1582.65,50450,26.5,4.35
27-12-2018,1578,1592.7,1560.35,1566.35,52378,32.35,11.65
26-12-2018,1560.1,1563.75,1521.6,1557.2,110900,42.15,2.9
24-12-2018,1570,1590.75,1557,1564.45,36690,33.75,5.55
21-12-2018,1614.55,1623.95,1572,1576.6,44003,51.95,37.95
20-12-2018,1609,1620,1593.8,1615.1,47409,26.2,-6.1
19-12-2018,1646,1653.2,1607.65,1611.95,60255,45.55,34.05
18-12-2018,1630,1644,1610,1639.75,34036,34,-9.75
