Date,Open,High,Low,Close
09-10-2017,107.9,107.9,107.9,107.9
06-10-2017,106.85,106.85,106.85,106.85
05-10-2017,106.35,106.55,106.35,106.55
04-10-2017,106.35,106.35,106.35,106.35
03-10-2017,109,109,106,106.2
29-09-2017,105.7,105.7,105.7,105.7
28-09-2017,105,105,104.65,104.65
27-09-2017,106.3,106.5,105.25,105.25
26-09-2017,106.3,106.3,106.3,106.3
25-09-2017,108,108,106,106
22-09-2017,108,108,107.75,107.75
21-09-2017,109.9,109.9,109,109.45
20-09-2017,110,110,109.8,109.8
19-09-2017,110,110,109.65,109.65
18-09-2017,110,110.05,110,110.05
15-09-2017,109.15,109.15,109,109
14-09-2017,109.35,109.35,109.35,109.35
13-09-2017,109.45,109.45,109.05,109.05
12-09-2017,108.15,108.15,108.15,108.15
11-09-2017,107.9,107.9,107.9,107.9
08-09-2017,107.3,107.3,107.3,107.3
07-09-2017,107,107.5,107,107.5
06-09-2017,107.3,107.3,106.8,107
05-09-2017,107,107,107,107
04-09-2017,107,107.4,106.75,106.75
01-09-2017,107,107,107,107
31-08-2017,106.25,106.25,106.1,106.25
30-08-2017,106.5,106.5,105.75,105.75
29-08-2017,106.25,106.35,105.6,105.6
28-08-2017,106.6,106.85,106.6,106.85
24-08-2017,106,106.4,105.6,106.4
23-08-2017,105.4,105.4,105.4,105.4
22-08-2017,104.7,104.7,104.7,104.7
21-08-2017,105.75,105.75,105.75,105.75
17-08-2017,106.85,106.85,106.85,106.85
16-08-2017,105.6,105.75,105.5,105.55
14-08-2017,104.9,105.2,104.9,105.2
11-08-2017,104,104.25,104,104.25
10-08-2017,105.6,105.6,105.6,105.6
09-08-2017,106.8,106.8,106.8,106.8
08-08-2017,108.35,108.35,107.5,107.5
07-08-2017,108.35,108.35,107.8,107.8
04-08-2017,107.4,107.4,107.4,107.4
03-08-2017,108,108,107.2,107.2
02-08-2017,108.5,108.5,108,108
01-08-2017,108,108,108,108
31-07-2017,107.6,107.6,107.5,107.5
27-07-2017,108,108,107.5,107.5
26-07-2017,107.2,107.5,107,107.5
25-07-2017,107.3,107.3,106.5,106.5
24-07-2017,110,124.7,105.85,107
21-07-2017,105.95,105.95,105.75,105.75
19-07-2017,105.5,105.5,105.5,105.5
18-07-2017,105.5,105.5,105.5,105.5
17-07-2017,113,123.7,106,106
14-07-2017,105.7,105.7,105.7,105.7
13-07-2017,105.25,105.25,105.15,105.15
12-07-2017,104.8,104.8,104.5,104.5
11-07-2017,105,105,104.5,104.5
10-07-2017,104.2,104.5,104.2,104.25
07-07-2017,103.8,103.8,103.35,103.8
06-07-2017,103.6,103.9,103.6,103.9
05-07-2017,103,103,102.55,102.55
04-07-2017,103.15,103.15,102.8,102.8
03-07-2017,105,115,102.65,102.65
29-06-2017,102.2,102.2,102.2,102.2
28-06-2017,99,101.35,99,101.35
