Date,Open,High,Low,Close
26-04-2019,398.6,408.2,394.25,407.4
25-04-2019,401.9,402.25,394.3,395.35
24-04-2019,396.5,402.25,393,401.05
23-04-2019,399.95,399.95,393.85,396.35
22-04-2019,404.3,404.3,393.2,394.6
18-04-2019,408.6,410.65,402.55,404.9
16-04-2019,396.6,408.5,396.6,406.8
15-04-2019,394.9,396.9,391.5,392.75
12-04-2019,391.05,395.25,388.85,394.45
11-04-2019,394.35,395,387.75,390.1
10-04-2019,396.9,398.6,392.5,393.7
09-04-2019,387.1,398.35,387.1,396.9
08-04-2019,392,392,385.1,387.15
05-04-2019,391.9,392.95,385.6,390.5
04-04-2019,393.3,395.5,387.35,388.5
03-04-2019,398,402.85,390.9,392.4
02-04-2019,399,399.85,393.5,397.45
01-04-2019,402,409.3,396.7,398.75
29-03-2019,401,402.7,395.15,398.85
28-03-2019,392.8,401.25,392.8,400
27-03-2019,395,397.9,389.6,393.3
26-03-2019,384.25,395.15,383.65,394.05
25-03-2019,388.9,388.9,382.6,383.5
22-03-2019,394,396.1,390,391.6
20-03-2019,398,398.15,392.4,393
19-03-2019,397.5,400.6,394,398.15
18-03-2019,395.6,399.8,393.5,397.8
15-03-2019,388.1,398.3,388.1,395.7
14-03-2019,392,393,386.95,387.9
13-03-2019,384,393.15,384,391.85
12-03-2019,378.5,389,377.15,388.2
11-03-2019,370.8,378.2,370.15,375.9
08-03-2019,370.4,373.2,367.75,370.15
07-03-2019,372,373.95,368.45,370.4
06-03-2019,364.15,372.65,364.15,371.6
05-03-2019,355,363.35,352.85,362.35
01-03-2019,351.8,354.9,350.1,353.5
28-02-2019,348.25,350.9,345,348.8
27-02-2019,350.55,354.6,343.35,345.8
26-02-2019,352.1,352.5,346.8,348.1
25-02-2019,353.45,357.4,352.75,355.5
22-02-2019,351.95,353.95,351.4,351.75
21-02-2019,346,354.7,346,350.4
20-02-2019,344.15,347.65,342.35,345.2
19-02-2019,340.3,350.4,339.85,343.35
18-02-2019,341.55,343.05,337.2,338.55
15-02-2019,344.35,347.7,340.55,342
14-02-2019,340.7,346.5,336.25,343.1
13-02-2019,345.8,347.1,339,340
12-02-2019,349.85,352,343.25,344.45
11-02-2019,355,355,348.6,349.3
08-02-2019,353.1,357.8,350.8,354.9
07-02-2019,359,361.55,356.5,358.75
06-02-2019,353,361.5,353,358.9
05-02-2019,354.95,355.5,348.9,352.35
04-02-2019,351.6,356.7,346,354.6
01-02-2019,364,365.7,348.7,354.5
31-01-2019,372.7,376.6,354.1,364.25
30-01-2019,351,368.05,351,365.25
29-01-2019,344.85,350.5,341.6,346.9
28-01-2019,354.2,354.9,336.85,343.45
25-01-2019,361.25,364.45,354.5,357.1
24-01-2019,365,368.45,361.7,365
23-01-2019,369.7,373.5,366.4,367.65
22-01-2019,369.1,372.5,366.15,369
21-01-2019,372,376.2,370.25,371.25
18-01-2019,374.2,376.5,370.05,371.9
17-01-2019,376,377.95,372.6,373.35
16-01-2019,372.5,379.45,372.5,375.1
15-01-2019,374.9,375.35,370.45,372.55
14-01-2019,378.4,378.4,372.7,373.4
11-01-2019,380.8,381,375.25,378.55
10-01-2019,380.1,382.1,376.2,379.7
09-01-2019,382.1,383.35,375.9,382
08-01-2019,367.9,381.6,366.75,380.2
07-01-2019,368.3,370.9,366.55,367.5
04-01-2019,361.5,368.55,358.05,365.55
03-01-2019,365,367.35,362,363.25
02-01-2019,362.65,367.95,360.45,364.35
01-01-2019,362,364.85,356.5,363.65
31-12-2018,361.6,363.6,359.35,360
28-12-2018,357.35,362.75,357.35,361.05
27-12-2018,357.3,360.7,354.75,355.4
26-12-2018,351.75,356.5,348,355.35
24-12-2018,353.7,357.05,351.75,353.3
21-12-2018,362.85,363.5,351.3,353.35
20-12-2018,363.8,365.6,361.3,362.25
19-12-2018,364.65,369.25,361.05,366.6
18-12-2018,358,362.75,354.55,362.35
17-12-2018,352,360,351.95,358
14-12-2018,349.9,354,349.35,352.1
13-12-2018,352.15,354.15,347,349.3
12-12-2018,344.4,351.5,339.5,350.4
11-12-2018,338,344.45,335.9,342.75
10-12-2018,347,349.55,344.35,346.35
07-12-2018,349.9,353,345.65,352.15
06-12-2018,349.4,349.9,343.5,347.55
05-12-2018,355.8,356,349.7,351.1
04-12-2018,352.35,359.2,352.35,358
03-12-2018,359.8,359.8,352.3,355.5
30-11-2018,363.55,364.8,354.05,355
29-11-2018,362.4,366.2,360.15,362.25
28-11-2018,357.7,361.45,353.5,359.05
27-11-2018,356.5,356.5,351.7,354.35
26-11-2018,355.9,357.75,350.75,356.5
22-11-2018,359.15,359.25,351,351.95
21-11-2018,356,360.2,353.05,356.8
20-11-2018,362.55,365.5,354.85,358
19-11-2018,370,370.45,360.75,362.5
16-11-2018,371,375.25,365.5,367.4
15-11-2018,365,374.75,362,369.6
14-11-2018,363.6,369.5,361.4,366.6
13-11-2018,348,362,348,360.9
12-11-2018,357.8,358,351.75,352.3
09-11-2018,357.05,357.8,352.7,355.8
07-11-2018,356.85,357.25,354.7,356
06-11-2018,349.8,358.1,347.65,353.2
05-11-2018,351.6,351.8,347.8,349.8
02-11-2018,356.5,357.65,352,354.3
01-11-2018,356.1,358.4,351.3,353.4
31-10-2018,344.15,356.3,335,355.1
30-10-2018,348.9,353.8,343,345.9
29-10-2018,328.9,352.05,326.65,349.15
26-10-2018,320.8,323.4,313.1,315.05
25-10-2018,319.8,321.85,311.95,319.7
24-10-2018,328.1,329.8,316.8,323.95
23-10-2018,322.7,328.6,318.7,321.7
22-10-2018,319.6,329.65,316.4,327
19-10-2018,314.7,321.55,310.3,314.9
17-10-2018,325,327.8,311.9,314.7
16-10-2018,314.5,323,314.05,321.05
15-10-2018,318.8,318.8,309.6,313.2
12-10-2018,313.25,324,313.25,318.8
11-10-2018,310,315.3,305.9,311.6
10-10-2018,307.9,322.6,305,318.9
09-10-2018,312.9,312.9,303.4,306.1
08-10-2018,306.6,313.5,298.5,310.75
05-10-2018,316.5,321.1,298.8,306.6
04-10-2018,300,320.9,294.8,315.95
03-10-2018,312,314.3,302.65,303.6
01-10-2018,305.3,315.55,300.5,314.15
28-09-2018,307,311.25,301.7,305
27-09-2018,315,316.15,305.05,306.65
26-09-2018,315,315,305.25,312.5
25-09-2018,307.9,313.75,300.3,310.15
24-09-2018,318,318,305.75,308.75
21-09-2018,323.9,333.4,302.8,317.8
19-09-2018,319,324.7,316.85,320.85
18-09-2018,324.9,327.85,317.7,318.7
17-09-2018,328,328,321.55,325.45
14-09-2018,326.2,329.25,324.25,328.15
12-09-2018,326.6,327.7,318.5,323.1
11-09-2018,333.65,336.7,325.15,326.6
10-09-2018,331.8,335.7,328,333.05
