Date,Open,High,Low,Close
23-01-2019,660,666.95,659,661.4
22-01-2019,659.4,664,632,661.8
21-01-2019,661.9,664.45,656.75,660.25
18-01-2019,675.7,675.8,661.65,664.3
17-01-2019,668.6,678.9,665.9,676.3
16-01-2019,660.25,670.4,660.25,663.65
15-01-2019,661.25,664.25,655.5,660.1
14-01-2019,666.5,666.5,652.9,659.4
11-01-2019,665,669.6,658.2,666.5
10-01-2019,667.2,670,655.5,663
09-01-2019,652.95,672,652.7,670.05
08-01-2019,635.5,653.9,630.7,650.9
07-01-2019,625.9,640.2,624,637.45
04-01-2019,610,624.7,609.85,619.85
03-01-2019,621,622.85,604.65,607.95
02-01-2019,624.7,628.3,617.1,618.9
01-01-2019,621.2,629.85,621.2,627.5
31-12-2018,629.1,631.8,618.75,619.8
28-12-2018,622.95,628.1,620.5,625.25
27-12-2018,627,627,615.5,617.5
26-12-2018,613,622.95,603.55,616.85
24-12-2018,625,627,613.4,614.8
21-12-2018,633,637.8,617.15,621.1
20-12-2018,638,646.45,629.4,633
19-12-2018,623,649.85,619.75,639.45
18-12-2018,619.3,621.75,613.9,619.75
17-12-2018,623,625,616.35,617.25
14-12-2018,618,621.3,610.95,618.7
13-12-2018,625,625.4,615.95,618.15
12-12-2018,604.25,622,602.95,619.35
11-12-2018,581.8,615.95,580,604.25
10-12-2018,598.05,601,585.5,590
07-12-2018,601.3,608.5,592.7,603.25
06-12-2018,613.9,613.9,598,600.35
05-12-2018,621.5,623.45,612.75,614.55
04-12-2018,624.75,627,618.85,622.65
03-12-2018,630.6,632.6,622,624.8
30-11-2018,632,634.9,623.75,625.75
29-11-2018,631.1,637.7,622,630.35
28-11-2018,627.2,631.1,622.65,627.65
27-11-2018,630,638.2,622.55,625.2
26-11-2018,616.25,634.4,616.25,630.8
22-11-2018,626.3,629,611.6,614.3
21-11-2018,612,628.5,610.05,626.35
20-11-2018,616,619.65,609.2,612.85
19-11-2018,620,620,608.8,615.15
16-11-2018,625.65,636.7,615,618.3
15-11-2018,612.75,632.65,611.25,625.65
14-11-2018,623.3,623.3,609.05,612.75
13-11-2018,609.8,620.55,604,618.6
12-11-2018,612.6,618.45,603.1,606.2
09-11-2018,611.4,623.2,601,612.6
07-11-2018,615,616,604.8,607.1
06-11-2018,632,632,600.1,607.6
05-11-2018,627,632.9,617,624.3
02-11-2018,613,617.55,604.8,609.95
01-11-2018,580.3,607.3,580.3,602.35
31-10-2018,565.2,584.7,558.2,581.9
30-10-2018,565,571.1,558.75,562.6
29-10-2018,541.8,576.1,538.9,565.9
26-10-2018,562.1,564,534.15,537.35
25-10-2018,558.7,564.15,552.25,560
24-10-2018,572.5,575.35,557,563.4
23-10-2018,558.4,571.1,554,563.05
22-10-2018,569,572.25,558.65,561.1
19-10-2018,574.6,576.25,555,562.2
17-10-2018,594,598.6,567.25,574.6
16-10-2018,577,593.65,570.65,588.8
15-10-2018,586,590,569.8,575.85
12-10-2018,588.5,602.3,581.6,584.65
11-10-2018,565.6,585.5,551,580.8
10-10-2018,556.45,591.8,553.35,589.35
09-10-2018,560.35,564,549,552.75
08-10-2018,568,580,546.55,556.5
05-10-2018,586.95,590.5,564.25,568.45
04-10-2018,567,590,553.95,586.1
03-10-2018,599.45,599.45,568.1,570.7
01-10-2018,613.8,617,572.3,593.95
